GE632906	BNIPL; C14orf153; C19orf54; C1orf212; C21orf62; C6orf132; C9orf167; FAM116A; FAM134A; GNB4; IPO9; ITPRIPL2; KCNK17; L1TD1; LLPH; MAK; MBOAT2; METTL2B; METTL8; MUTED; PDDC1; QPCTL; RNF125; RUNDC1; SEPT14; SPCS3; SPN; TMEM33; TNFAIP8L3; TP53BP2; UTP14C; UTP20; UTP23; ZNF320; ZNF430; ZNF490; ZNF561; ZNF701; ZNF793; ZYG11A
GE63355	GDF1; LASS1
GE634148	MCTS1; MTMR2; PDDC1; TSPAN14
GE634868	IL6R; PLEKHJ1; POLR2L
GE635233	ORAI2; PLEKHA5
GE642801	AKAP12; C10orf58; C2orf56; LPCAT3; OR7D2; ZNF721
GE652221	C19orf35; C1orf163; C9orf66; CCDC142; DENND5B; DTWD2; FBXL20; FBXO6; FRRS1; GEMIN8; GNB5; GREB1; KIAA1324; LRRC27; PHYHD1; PIGM; PIWIL3; SERPINB9; UBE2G2; VSIG1; ZFX; ZNF791; ZNF91
GE656069	C2orf18; FBXL20; NOM1
GE662206	LOC646851; PDPR; SLC12A6
GE665711	MTFMT; N4BP2; RBP1
GE665903	AKAP8; DNMBP; FBXO9; NIT1; PRR11; UBA52
GE666466	MYO5C; ZSCAN29
GE666909	AGL; KIAA0101
GE671370	NAA40; PTGIS
GE672142	ARGFX; CCBE1; DTX3L; HEATR5A; KREMEN1; OTUD3; PRND; RNF7; SLC25A34; TMEM41B; VPS13C
GE673791	IL1R1; PIK3CD; TPM4
GE675086	ABRA; ANKRD22; BAG1; CLDN11; CYP20A1; DENR; FAM73A; GIGYF2; GSR; HAUS2; HUNK; KLRD1; MAVS; MIS12; MKLN1; PRIM2; SEC62; UTP20
GE679340	ACBD7; CLDN18; NCCRP1; NWD1; PHC3; PTPRB; PXMP4; ZNF704
GE680167	CYP20A1; DNAJC19; KPNA6; NOL9; OTUD3; PPFIBP1; RNF170; TIMELESS; TRAPPC2
GE681966	SNRNP48; SULT1E1; YIPF6
GE683701	BFAR; C4orf34; CHURC1; CLSPN; DOPEY2; DSCR3; DSTYK; FBXO44; FNBP1; GGT6; GPR155; HUNK; LDHAL6A; MAPK1IP1L; MRPS16; NKIRAS2; NUP62; PRR11; PTPN18; RBM19; RNF207; SLU7; SPN; TAF8; TBC1D15; UBA52; ZNF468; ZNF577
GE684174	IRF1; TXNDC15
GE684492	FAM55C; OPA3
GE685475	MAFF; SLU7; VPS24
GE685691	AKT2; CACNB2
GE690825	EVI5; MCTS1; PDLIM5; SLC35E3; ZNF18; ZNF709
GE691385	CTSB; DMBX1; EEF1A1; JMJD6; MTIF2; MTX3; NLN; PLEKHA5; POFUT1; PPP1R9A; RASA4; SPAG9; TATDN3; TMX1; TNS4; TRIM66; USP46; ZNF793
GE693456	HOOK3; KIF11; OR51E2; PHACTR4; TXNDC15
GE696001	HAVCR1; IKBIP; OPA3; ZNF766
GE698163	SLC30A7; SYNJ2BP
GE700942	IPO9; OLFML2A; SGK494
GE702821	BIRC3; HSH2D; MKLN1; RNF144B
GE703259	IMPAD1; ZNF619
GE703340	C1orf141; CYP1A2; DBT; GLT25D1; GRIPAP1; MDM2; PDXK; PRKCI; PTGR2; PURB; RHD; SAR1B; SENP5; SUPT7L; TRAF5
GE703667	C11orf40; INMT
GE704541	FAM76A; GPR155; IYD; YAF2
GE704949	PEX10; RER1
GE705540	BCAS4; BLOC1S2; C5orf36; CHST6; FAM83E; GP6; H6PD; ODZ4; OPA3; PDLIM2; TMEM120B; UBA52
GE706194	ABHD11; APOLD1; C14orf182; CHST6; CPPED1; CYP20A1; ENAH; FUT2; GJC1; GPR37L1; GRSF1; IVD; JAK3; PCSK5; PIK3CD; SERBP1; TMOD3
GE707627	FAM9A; FAM9B
GE711451	ARMC10; C8orf79
GE718114	ARL17A; COX15; GRB2; SMU1
GE719346	LCE1A; LCE1C; LCE1D; LCE1E; LCE1F
GE719625	C15orf40; ZNF805
GE719653	C10orf72; SLC14A1
GE719769	DCP2; ZNF850
GE722780	CCL5; EPM2AIP1; GINS1; IL10RB; IRAK2; IRGQ; VPS53; ZNF716; ZNF793
GE723220	CLCC1; KIAA1530
GE724865	AASS; ABCA13; ABL2; ALDH5A1; AS3MT; C8orf85; CCDC122; FMN1; GBP4; GEMIN8; INMT; L1TD1; LETM1; MGAT4A; MICAL3; QPCTL; RUNDC1; SIX4; SMG1; TEP1; TRIM68; UBE2G2; WHAMM; XPNPEP3; ZNF280C; ZNF490
